symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
PNB,15,demand,2026-01-01 15:00:00,Moderate,"TESTED, NOT BROKEN",1.54
TATACONSUM,15,supply,2025-12-30 09:30:00,Strong,"TESTED, NOT BROKEN",1.55
BIOCON,15,demand,2026-01-02 10:15:00,Moderate,"TESTED, NOT BROKEN",1.56
KALYANKJIL,15,demand,2026-01-02 10:15:00,Explosive,UNTESTED,1.56
DLF,15,demand,2026-01-01 11:45:00,Explosive,"TESTED, NOT BROKEN",1.56
MOTHERSON,30,supply,2026-01-02 10:45:00,Strong,UNTESTED,1.56
MOTHERSON,15,supply,2026-01-02 10:30:00,Strong,UNTESTED,1.56
WHIRLPOOL,15,demand,2026-01-02 10:30:00,Moderate,UNTESTED,1.57
ELGIEQUIP,30,demand,2026-01-01 13:15:00,Explosive,"TESTED, NOT BROKEN",1.57
TATAPOWER,15,demand,2026-01-02 11:00:00,Moderate,UNTESTED,1.58
NATCOPHARM,15,supply,2025-12-29 09:30:00,Explosive,"TESTED, NOT BROKEN",1.59
FORTIS,30,demand,2026-01-02 10:45:00,Explosive,UNTESTED,1.6
CONCOR,15,demand,2026-01-01 15:00:00,Strong,"TESTED, NOT BROKEN",1.6
ICICIGI,30,demand,2025-12-30 12:45:00,Strong,"TESTED, NOT BROKEN",1.6
POWERGRID,30,demand,2026-01-02 09:15:00,Moderate,"TESTED, NOT BROKEN",1.61
HINDALCO,30,demand,2026-01-02 10:45:00,Moderate,UNTESTED,1.63
SYNGENE,30,demand,2025-12-31 10:45:00,Moderate,"TESTED, NOT BROKEN",1.63
KOTAKBANK,30,demand,2025-12-30 13:45:00,Strong,"TESTED, NOT BROKEN",1.66
SAIL,30,demand,2025-12-31 11:45:00,Explosive,UNTESTED,1.66
ELGIEQUIP,15,demand,2026-01-01 13:15:00,Strong,"TESTED, NOT BROKEN",1.66
CDSL,30,demand,2026-01-01 15:15:00,Explosive,"TESTED, NOT BROKEN",1.67
CROMPTON,15,supply,2025-12-29 09:30:00,Strong,UNTESTED,1.68
CDSL,15,demand,2026-01-01 15:00:00,Explosive,"TESTED, NOT BROKEN",1.71
BANKBARODA,15,demand,2026-01-02 09:15:00,Strong,UNTESTED,1.71
AXISBANK,15,demand,2025-12-31 09:30:00,Explosive,UNTESTED,1.72
INDIANB,15,demand,2026-01-02 11:00:00,Strong,UNTESTED,1.74
WOCKPHARMA,30,demand,2025-12-31 12:45:00,Explosive,UNTESTED,1.77
PETRONET,30,demand,2026-01-02 10:45:00,Strong,UNTESTED,1.78
LEMONTREE,15,supply,2026-01-02 10:45:00,Explosive,UNTESTED,1.79
ADANIGREEN,15,demand,2026-01-01 09:45:00,Explosive,UNTESTED,1.8
LICHSGFIN,30,demand,2026-01-02 09:45:00,Explosive,UNTESTED,1.81
SBILIFE,15,demand,2025-12-31 13:00:00,Explosive,UNTESTED,1.81
SBIN,30,demand,2026-01-02 09:45:00,Strong,UNTESTED,1.85
UNOMINDA,15,demand,2026-01-02 11:00:00,Explosive,UNTESTED,1.85
INDHOTEL,30,demand,2026-01-01 15:15:00,Moderate,UNTESTED,1.87
IEX,30,demand,2025-12-30 14:15:00,Moderate,"TESTED, NOT BROKEN",1.89
PETRONET,15,demand,2026-01-02 10:30:00,Strong,UNTESTED,1.89
SYNGENE,15,demand,2025-12-30 14:00:00,Strong,"TESTED, NOT BROKEN",1.9
DLF,15,demand,2026-01-01 11:15:00,Strong,UNTESTED,1.91
SWSOLAR,15,demand,2025-12-31 11:45:00,Strong,"TESTED, NOT BROKEN",1.92
GVT&D,30,supply,2026-01-02 10:45:00,Strong,UNTESTED,1.93
JIOFIN,15,demand,2026-01-02 09:30:00,Explosive,UNTESTED,1.94
AXISBANK,15,demand,2025-12-30 12:30:00,Explosive,"TESTED, NOT BROKEN",1.95
AXISBANK,30,demand,2025-12-30 12:45:00,Strong,"TESTED, NOT BROKEN",1.95
GPPL,30,supply,2025-12-29 10:45:00,Moderate,"TESTED, NOT BROKEN",1.97
SWSOLAR,15,demand,2026-01-02 10:30:00,Explosive,UNTESTED,1.97
NATCOPHARM,15,supply,2025-12-26 12:45:00,Explosive,UNTESTED,2.0
NESTLEIND,15,demand,2025-12-26 10:30:00,Strong,UNTESTED,2.0
DLF,30,demand,2025-12-31 10:45:00,Strong,"TESTED, NOT BROKEN",2.01
HAVELLS,30,demand,2025-12-31 09:15:00,Explosive,"TESTED, NOT BROKEN",2.03
ETERNAL,30,demand,2026-01-01 09:45:00,Explosive,UNTESTED,2.03
HAVELLS,15,demand,2025-12-31 09:15:00,Explosive,"TESTED, NOT BROKEN",2.03
ETERNAL,15,demand,2026-01-01 09:30:00,Explosive,UNTESTED,2.03
JINDALSAW,30,demand,2026-01-02 09:15:00,Strong,"TESTED, NOT BROKEN",2.05
BANKINDIA,15,demand,2026-01-01 13:00:00,Strong,UNTESTED,2.09
CDSL,15,demand,2025-12-31 09:30:00,Strong,"TESTED, NOT BROKEN",2.09
ADANIENSOL,15,demand,2026-01-01 09:45:00,Strong,UNTESTED,2.1
