symbol,timeframe,zone_type,entry_time,strength_remark,status,Diff %
NBCC,75,demand,2025-12-26 14:15:00,Moderate,"TESTED, NOT BROKEN",1.3
GLENMARK,25,demand,2026-01-02 12:35:00,Strong,UNTESTED,1.3
BIOCON,75,demand,2026-01-02 11:45:00,Moderate,UNTESTED,1.3
REDINGTON,75,supply,2025-12-16 10:30:00,Explosive,UNTESTED,1.3
HDFCAMC,125,supply,2025-12-24 13:25:00,Moderate,UNTESTED,1.31
OIL,25,demand,2026-01-01 11:20:00,Moderate,"TESTED, NOT BROKEN",1.31
BHARATFORG,75,demand,2025-12-23 13:00:00,Moderate,"TESTED, NOT BROKEN",1.32
RCF,25,demand,2026-01-02 11:20:00,Strong,UNTESTED,1.32
PNB,25,demand,2026-01-01 10:05:00,Moderate,"TESTED, NOT BROKEN",1.33
SWANCORP,75,demand,2025-12-16 14:15:00,Explosive,UNTESTED,1.33
SYNGENE,75,demand,2026-01-02 09:15:00,Strong,UNTESTED,1.34
HDFCBANK,25,demand,2025-12-30 15:05:00,Moderate,"TESTED, NOT BROKEN",1.34
SYRMA,75,supply,2025-12-15 11:45:00,Moderate,"TESTED, NOT BROKEN",1.35
HINDUNILVR,25,demand,2026-01-01 15:05:00,Moderate,UNTESTED,1.36
INDHOTEL,25,demand,2026-01-02 12:10:00,Explosive,UNTESTED,1.36
BAJFINANCE,125,supply,2025-12-16 13:25:00,Strong,UNTESTED,1.37
INFY,125,supply,2025-12-19 13:25:00,Moderate,"TESTED, NOT BROKEN",1.38
WELSPUNLIV,75,demand,2025-12-30 14:15:00,Strong,"TESTED, NOT BROKEN",1.38
NYKAA,25,demand,2025-12-30 12:10:00,Moderate,UNTESTED,1.38
GUJGASLTD,25,demand,2026-01-02 11:45:00,Moderate,UNTESTED,1.38
DELHIVERY,75,supply,2025-12-24 11:45:00,Strong,"TESTED, NOT BROKEN",1.41
PAYTM,25,demand,2026-01-02 13:25:00,Explosive,UNTESTED,1.42
BPCL,125,demand,2025-12-31 11:20:00,Moderate,UNTESTED,1.42
ANGELONE,25,supply,2025-12-29 12:35:00,Moderate,UNTESTED,1.42
ANGELONE,25,demand,2026-01-02 09:15:00,Moderate,"TESTED, NOT BROKEN",1.44
NATCOPHARM,75,supply,2025-12-29 10:30:00,Explosive,"TESTED, NOT BROKEN",1.45
NATCOPHARM,125,supply,2025-12-29 11:20:00,Explosive,"TESTED, NOT BROKEN",1.45
BAJFINANCE,125,supply,2025-12-11 13:25:00,Moderate,UNTESTED,1.45
DBREALTY,125,supply,2025-12-11 11:20:00,Moderate,"TESTED, NOT BROKEN",1.47
WHIRLPOOL,25,demand,2025-12-31 11:20:00,Strong,"TESTED, NOT BROKEN",1.48
HDFCAMC,75,supply,2025-12-24 11:45:00,Moderate,UNTESTED,1.48
BAJFINANCE,75,demand,2026-01-02 10:30:00,Explosive,UNTESTED,1.49
MAXHEALTH,125,supply,2025-12-17 09:15:00,Moderate,"TESTED, NOT BROKEN",1.49
BAJAJFINSV,125,supply,2025-12-11 09:15:00,Moderate,UNTESTED,1.5
JINDALSTEL,25,demand,2026-01-01 14:40:00,Strong,UNTESTED,1.5
KFINTECH,25,demand,2026-01-01 14:40:00,Moderate,UNTESTED,1.51
EXIDEIND,25,demand,2026-01-01 14:15:00,Strong,"TESTED, NOT BROKEN",1.52
NAUKRI,25,demand,2026-01-02 10:05:00,Moderate,UNTESTED,1.52
CROMPTON,75,supply,2025-12-29 10:30:00,Moderate,UNTESTED,1.52
CROMPTON,125,supply,2025-12-29 11:20:00,Moderate,UNTESTED,1.52
CROMPTON,25,supply,2025-12-29 09:40:00,Moderate,UNTESTED,1.52
JUBLFOOD,25,supply,2025-12-30 14:15:00,Strong,UNTESTED,1.54
KALYANKJIL,25,demand,2026-01-02 10:30:00,Strong,UNTESTED,1.55
MAXHEALTH,25,demand,2026-01-01 10:55:00,Strong,"TESTED, NOT BROKEN",1.55
CHENNPETRO,25,demand,2025-12-31 13:00:00,Moderate,"TESTED, NOT BROKEN",1.59
HINDUNILVR,25,demand,2026-01-01 14:15:00,Moderate,"TESTED, NOT BROKEN",1.59
NATCOPHARM,25,supply,2025-12-29 09:40:00,Explosive,"TESTED, NOT BROKEN",1.59
MARICO,75,demand,2025-12-31 10:30:00,Moderate,UNTESTED,1.59
OIL,25,demand,2025-12-31 10:55:00,Moderate,"TESTED, NOT BROKEN",1.6
DLF,25,demand,2026-01-01 11:45:00,Moderate,"TESTED, NOT BROKEN",1.61
BHARATFORG,25,demand,2025-12-30 10:30:00,Strong,"TESTED, NOT BROKEN",1.61
MOTHERSON,25,demand,2025-12-31 12:35:00,Strong,"TESTED, NOT BROKEN",1.61
POWERGRID,25,demand,2026-01-02 09:15:00,Moderate,"TESTED, NOT BROKEN",1.61
HAVELLS,125,demand,2025-12-31 09:15:00,Moderate,"TESTED, NOT BROKEN",1.64
LTF,75,demand,2026-01-01 09:15:00,Moderate,"TESTED, NOT BROKEN",1.64
CANBK,25,demand,2025-12-30 13:50:00,Strong,"TESTED, NOT BROKEN",1.65
WELSPUNLIV,125,demand,2025-12-31 09:15:00,Explosive,"TESTED, NOT BROKEN",1.65
GAIL,25,demand,2026-01-02 10:30:00,Strong,UNTESTED,1.66
SAIL,25,demand,2025-12-31 11:45:00,Explosive,UNTESTED,1.66
HDFCBANK,25,demand,2025-12-30 13:50:00,Moderate,UNTESTED,1.68
FIRSTCRY,125,supply,2025-12-26 11:20:00,Explosive,UNTESTED,1.68
FEDERALBNK,25,demand,2025-12-29 13:50:00,Strong,"TESTED, NOT BROKEN",1.68
AWL,25,supply,2026-01-02 09:40:00,Moderate,"TESTED, NOT BROKEN",1.69
MOTHERSON,25,supply,2026-01-02 10:30:00,Explosive,UNTESTED,1.69
TITAGARH,25,supply,2025-12-30 13:25:00,Strong,UNTESTED,1.72
APOLLOTYRE,125,supply,2025-12-17 11:20:00,Strong,"TESTED, NOT BROKEN",1.73
SHRIRAMFIN,75,demand,2025-12-31 14:15:00,Moderate,UNTESTED,1.74
PETRONET,25,demand,2026-01-02 10:30:00,Moderate,UNTESTED,1.75
BIKAJI,75,demand,2025-12-12 10:30:00,Moderate,UNTESTED,1.75
KNRCON,75,demand,2025-12-24 09:15:00,Explosive,UNTESTED,1.76
BANKBARODA,25,demand,2026-01-02 09:15:00,Moderate,UNTESTED,1.76
CHENNPETRO,75,supply,2026-01-02 10:30:00,Explosive,UNTESTED,1.77
HDFCAMC,125,supply,2025-12-19 11:20:00,Explosive,UNTESTED,1.78
MFSL,125,supply,2025-12-15 11:20:00,Strong,UNTESTED,1.79
INDHOTEL,75,demand,2026-01-02 09:15:00,Explosive,UNTESTED,1.79
MRPL,75,supply,2026-01-01 09:15:00,Moderate,"TESTED, NOT BROKEN",1.8
LICHSGFIN,25,demand,2026-01-02 09:40:00,Explosive,UNTESTED,1.81
LICHSGFIN,125,demand,2025-12-24 11:20:00,Strong,"TESTED, NOT BROKEN",1.81
SBILIFE,25,demand,2025-12-31 13:00:00,Explosive,UNTESTED,1.81
BIOCON,75,demand,2025-12-18 10:30:00,Explosive,"TESTED, NOT BROKEN",1.83
LODHA,25,demand,2025-12-31 10:30:00,Moderate,"TESTED, NOT BROKEN",1.84
CDSL,75,demand,2025-12-31 10:30:00,Moderate,"TESTED, NOT BROKEN",1.85
AFCONS,75,demand,2025-12-24 10:30:00,Explosive,"TESTED, NOT BROKEN",1.85
EXIDEIND,75,demand,2025-12-31 13:00:00,Moderate,"TESTED, NOT BROKEN",1.87
POONAWALLA,125,demand,2025-12-26 11:20:00,Strong,"TESTED, NOT BROKEN",1.9
SYNGENE,25,demand,2025-12-31 10:30:00,Explosive,"TESTED, NOT BROKEN",1.9
JIOFIN,75,demand,2026-01-02 10:30:00,Explosive,UNTESTED,1.91
UNOMINDA,25,demand,2026-01-02 10:55:00,Strong,UNTESTED,1.93
POLICYBZR,125,supply,2026-01-02 09:15:00,Moderate,UNTESTED,1.94
TEJASNET,125,demand,2025-12-22 09:15:00,Strong,UNTESTED,1.96
ICICIGI,125,demand,2025-12-16 09:15:00,Explosive,"TESTED, NOT BROKEN",1.96
TIINDIA,75,supply,2025-12-11 09:15:00,Moderate,"TESTED, NOT BROKEN",1.96
BHARATFORG,75,demand,2025-12-30 10:30:00,Explosive,UNTESTED,2.0
BANKINDIA,25,demand,2026-01-01 13:00:00,Strong,"TESTED, NOT BROKEN",2.0
BLS,125,supply,2025-12-23 11:20:00,Moderate,UNTESTED,2.0
DLF,25,demand,2025-12-31 10:30:00,Strong,"TESTED, NOT BROKEN",2.01
ETERNAL,25,demand,2026-01-01 09:40:00,Explosive,UNTESTED,2.01
GAIL,75,demand,2026-01-02 10:30:00,Explosive,UNTESTED,2.02
SAREGAMA,75,demand,2025-12-09 11:45:00,Strong,"TESTED, NOT BROKEN",2.02
BSOFT,25,demand,2025-12-31 09:40:00,Moderate,UNTESTED,2.02
JINDALSAW,25,demand,2026-01-02 09:15:00,Strong,"TESTED, NOT BROKEN",2.05
LAURUSLABS,75,demand,2025-12-30 14:15:00,Strong,"TESTED, NOT BROKEN",2.05
DEVYANI,25,demand,2025-12-31 13:25:00,Explosive,UNTESTED,2.08
M&MFIN,75,demand,2025-12-30 11:45:00,Moderate,UNTESTED,2.08
RVNL,25,supply,2025-12-29 12:35:00,Moderate,UNTESTED,2.08
NATCOPHARM,75,supply,2025-12-26 13:00:00,Strong,UNTESTED,2.09
KOTAKBANK,75,demand,2025-12-11 10:30:00,Explosive,"TESTED, NOT BROKEN",2.1
VEDL,25,demand,2026-01-02 09:40:00,Explosive,UNTESTED,2.1
SBILIFE,25,demand,2025-12-31 12:10:00,Moderate,UNTESTED,2.11
BDL,75,demand,2026-01-02 09:15:00,Explosive,UNTESTED,2.11
HINDCOPPER,25,demand,2026-01-02 11:45:00,Strong,UNTESTED,2.12
NAUKRI,25,demand,2026-01-01 14:15:00,Moderate,"TESTED, NOT BROKEN",2.13
DELHIVERY,125,supply,2025-12-10 11:20:00,Moderate,UNTESTED,2.14
EXIDEIND,25,demand,2025-12-31 10:30:00,Moderate,"TESTED, NOT BROKEN",2.15
SBIN,25,demand,2026-01-01 14:15:00,Explosive,"TESTED, NOT BROKEN",2.15
MARICO,25,demand,2025-12-31 09:40:00,Moderate,UNTESTED,2.16
FIRSTCRY,125,demand,2025-12-31 09:15:00,Moderate,UNTESTED,2.17
